id	w	p	l	c1	c2	pred
2584	follow	V	F	Can you follow her argument ?	Follow a pattern .	T
2585	youth	N	T	I made many mistakes in my youth , but learned from them all .	Make the most of your youth , it will not last forever .	T
2586	baron	N	T	A “ robber baron ” or “ robber knight ” is an historic term and title of disdain .	An oil baron .	F
2587	have	V	F	Have a feeling .	I wo n't have this dog in my house !	F
2588	control	N	F	Under control .	He had lost control of his sphincters .	F
2589	normalize	V	T	There is little hope that the two countries will normalize relations ; their governments seem to hate each other and would just as soon stay on bad terms .	Normalize the temperature .	F
2590	window	N	T	The expanded window will give us time to catch the thieves .	You have a two-hour window of clear weather to finish working on the lawn .	T
2591	normalize	V	T	There is little hope that the two countries will normalize relations ; their governments seem to hate each other and would just as soon stay on bad terms .	Normalize the spelling .	F
2592	get	V	F	Get nauseous .	The cat got the goldfish .	F
2593	be	V	F	I shall be writing to you soon .	She is our resident philosopher .	F
2594	stone	N	T	A peach stone .	You should remove the stones from prunes before cooking .	F
2595	song	N	T	A bird will not learn its song unless it hears it at an early age .	I love hearing the song of canary birds .	T
2596	mean	V	T	I mean to go to Baddeck this summer .	I only meant to help you .	T
2597	bum	N	T	A lazy bum .	That guy keeps interrupting the concert . Throw the bum out !	F
2598	address	N	T	He failed in his manner of address to the captain .	A man of pleasing or insinuating address .	F
2599	rectify	V	F	Rectify a curve .	Rectify alternating current .	F
2600	score	N	T	The player with the highest score is the winner .	The winning score came with less than a minute left to play .	F
2601	catch	V	F	Catch fire .	She caught her son eating candy .	F
2602	make	V	T	Make revolution .	Make an effort .	F
2603	turn	V	F	Turn the clay on the wheel .	Ivory turns well .	F
2604	charge	V	T	To charge high for goods .	Will I get charged for this service ?	T
2605	pay	V	F	To pay attention .	She had to pay the penalty for speaking out rashly .	F
2606	title	N	F	The professor did n't like his friends to use his formal title .	He held the title for two years .	F
2607	call	V	F	We could always call on a friend .	Call the outcome of an election .	F
2608	do	V	F	What does Bob do ? — He 's a plumber .	This car does 150 miles per hour .	F
2609	operation	N	F	A multinational operation .	It can perform millions of operations per second .	F
2610	have	V	T	I have two sisters .	The dog down the street has a lax owner .	T
2611	answer	V	T	Answer the telephone .	Answer the door .	T
2612	head	N	T	A head of cauliflower .	A head of lettuce .	T
2613	raise	V	T	To raise Sandy Hook light .	Raise your hands .	F
2614	compare	V	F	This car does not compare with our line of Mercedes .	You ca n't compare my problems and yours .	T
2615	life	N	F	While there 's life there 's hope .	I have known him all his life .	F
2616	orbit	N	T	The Moon 's orbit around the Earth takes nearly one month to complete .	He plotted the orbit of the moon .	T
2617	authority	N	T	Respect my authority !	I have the authority to penalise the staff in my department , but not the authority to sack them .	T
2618	neighborhood	N	F	My neighborhood voted for Bush .	The price is in the neighborhood of $ 100 .	F
2619	cut	N	T	Everyone got a cut of the earnings .	The lawyer took a cut of the profits .	T
2620	dress	V	T	Can the child dress by herself ?	Marlene dressed the baby .	T
2621	lift	V	F	You never lift a finger to help me !	Lift an embargo .	F
2622	play	V	T	Play safe .	Play fair .	F
2623	corner	N	F	The chimney corner was full of cobwebs .	A piano was in one corner of the room .	T
2624	gather	V	T	I gather from Aunty May that you had a good day at the match .	I gather you have not done your homework .	F
2625	land	N	F	He made it the law of the land .	There 's no work on the land any more .	T
2626	extend	V	F	Extend the loan .	The war extended over five years .	T
2627	charge	V	F	I need to charge my car battery .	He came charging into my office .	F
2628	sum	N	T	He borrowed a large sum .	A tidy sum .	T
2629	lap	N	F	His lap was covered with food stains .	The job fell right in my lap .	F
2630	time	N	F	Time stops for nobody .	The time of year for planting .	F
2631	turn	V	F	In Vermont , the leaves turn early .	Ivory turns well .	F
2632	begin	V	F	This economic measure does n't even begin to deal with the problem of inflation .	The first tourists began to arrive in Cambodia .	F
2633	picture	N	F	The very picture of a modern general .	The political picture is favorable .	F
2634	see	V	T	I want to see results .	You 'll see a lot of cheating in this school .	F
2635	get	V	F	What did you get at the toy store ?	She did n't get his name when they met the first time .	F
2636	degree	N	F	Murder in the second degree .	There are 360 degrees in a circle .	F
2637	ground	N	F	He dropped the logs on the ground .	They gained ground step by step .	F
2638	pack	V	F	You had better pack your swollen ankle with ice .	Pack the books into the boxes .	F
2639	raise	V	T	Raise hell .	Raise Cain .	T
2640	now	N	T	It worked up to right now .	There is no better time than now .	T
2641	life	N	T	Having experienced both , the vampire decided that he preferred (un)death to life .	Life depends on many chemical and physical processes .	F
2642	define	V	T	The camera could define the smallest object .	The tree was clearly defined by the light .	T
2643	education	N	T	He received no formal education .	A good teacher is essential for a good education .	F
2644	heat	V	T	Heat the water on the stove .	The sun heats the oceans .	T
2645	rock	N	F	While we 're in Brighton , let 's get a stick of rock !	He threw a rock at me .	F
2646	calendar	N	T	The club has a busy calendar this year .	I have you on my calendar for next Monday .	T
2647	sampler	N	T	A candy sampler .	A sampler of French poets .	F
2648	go	V	T	These ugly billboards have to go !	These luxuries all had to go under the Khmer Rouge .	T
2649	purchase	V	T	$ 50 wo n't even purchase a dress .	The family purchased a new car .	F
2650	lift	N	T	He gave me a lift to the bus station .	He gave me a lift home .	T
2651	stabilization	N	T	Stabilization means that the product can be handled under atmospheric conditions .	He worked for price stabilization for farm products .	F
2652	heart	N	F	You have n't got the heart for baseball .	Hearts were trumps .	F
2653	make	V	T	Make love , not war .	Make revolution .	F
2654	play	N	T	We saw a two-act play in the theatre .	He wrote several plays but only one was produced on Broadway .	T
2655	draw	V	T	Draw a wagon .	A ship 's sail is said to draw when it is filled with wind .	F
2656	house	N	T	He has a house on Cape Cod .	This is my house and my family 's ancestral home .	T
2657	bar	N	F	It was an excellent kick but the ball hit the bar .	The orchestra omitted the last twelve bars of the song .	F
2658	raise	V	F	Raise my salary .	Raise the question of promotions .	F
2659	disturbance	N	T	He looked around for the source of the disturbance .	There was a disturbance of neural function .	T
2660	kill	V	F	Kill the engine .	These new shoes are killing me !	F
2661	keep	V	T	The family 's fortune waned and they could not keep their household staff .	Our grant has run out and we can not keep you on .	T
2662	dress	V	T	We had to dress quickly .	Can the child dress by herself ?	T
2663	run	V	T	Do n't run that software unless you have permission . ' .	Run the dishwasher .	F
2664	dresser	N	T	She 's an elegant dresser .	He 's a very snappy dresser .	T
2665	think	V	T	Just think -- you could be rich one day !	Think what a scene it must have been !	T
2666	air	N	T	An air of mystery .	The house had a neglected air .	T
2667	offset	V	T	To offset one charge against another .	Offset deposits and withdrawals .	T
2668	suit	N	T	They buried him in his best suit .	Be sure to keep your nose to the grindstone today ; the suits are making a " surprise " visit to this department .	F
2669	matter	N	F	Physicists study both the nature of matter and the forces which govern it .	He always took some reading matter with him on the plane .	F
2670	back	V	T	The horse refuses to back .	The wind backed .	F
2671	dozen	N	T	Can I have a dozen eggs , please ?	I ordered two dozen doughnuts .	T
2672	movement	N	F	He had a bowel movement .	It was an expensive watch with a diamond movement .	F
2673	impute	V	T	People impute great cleverness to cats .	We imputed this quotation to Shakespeare .	F
2674	canvas	N	T	The movie demanded a dramatic canvas of sound .	The crowded canvas of history .	T
2675	analyze	V	T	Analyze a chemical compound .	Analyze a specimen .	T
2676	freeze	V	F	Do n't go outside wearing just a t-shirt ; you 'll freeze !	Freeze the leftover food .	F
2677	replace	V	T	The insurance will replace the lost income .	We need to replace the secretary that left a month ago .	T
2678	competition	N	F	The newspaper is featuring a competition to win a car .	The new stain remover was ten times more effective than the competition .	F
2679	union	N	F	Lightning produced an unusual union of the metals .	Let C be the union of the sets A and B .	F
2680	mouth	N	F	The jar had a wide mouth .	They built a fire at the mouth of the cave .	T
2681	strike	V	F	The opponent refused to strike .	In the fifth inning , the Giants struck , sending three runners home to win the game 5 to 2 .	F
2682	number	N	T	She preferred the black nylon number .	This sweater is an all-wool number .	F
2683	double	N	F	His first job in Hollywood was as a double for Clark Gable .	He hit a double to deep centerfield .	F
2684	war	N	T	The " war on terror " is a campaign against terrorist crime .	The " war on drugs " is a campaign against the use of narcotic drugs .	T
2685	drink	V	T	The patient must drink several liters each day .	He drank out of the goblet .	T
2686	bear	V	T	Bear news .	Bear a heavy load .	F
2687	shift	V	T	Shift the emphasis .	Shift one 's attention .	T
2688	love	N	F	A mother 's love is not easily shaken .	The theater was her first love .	F
2689	class	N	T	The class of all sets is not a set .	There are two classes of detergents .	F
2690	truth	N	T	The truth is that he did n't want to do it .	At last he knew the truth .	T
2691	stage	N	F	It set the stage for peaceful negotiations .	He clambered up onto the stage and got the actors to help him into the box .	F
2692	field	N	F	He was an expert in the field of Chinese history .	The farmer 's field was a civil war battleground , and relics such a minnie bullets were frequently found while plowing .	F
2693	deal	V	F	Deal a blow to someone .	I can deal with this crew of workers .	F
2694	piece	N	F	He sacrificed a piece to get a strategic advantage .	He needed a piece of granite .	F
2695	drive	V	F	Drive a car or bus .	She drives for the taxi company in Newark .	T
2696	fire	N	T	We sat around the fire singing songs and telling stories .	Fire was one of our ancestors ' first discoveries .	T
2697	get	V	T	You need to get permission to leave early .	I got a computer from my parents for my birthday .	F
2698	tolerate	V	F	I like the way he plays the guitar , but I ca n't tolerate his voice when he sings .	The patient does not tolerate the anti-inflammatory drugs we gave him .	F
2699	negociate	V	F	Negociate securities .	The pianist negociated the difficult runs .	F
2700	period	N	T	A time period of 30 years .	Hastened the period of time of his recovery .	T
2701	charge	V	F	Charge the wagon with hay .	Will I get charged for this service ?	F
2702	pain	N	T	Your mother is a right pain .	That kid is a terrible pain .	T
2703	time	N	T	It is time to go .	These times were erroneously converted between zones .	T
2704	call	N	F	The salesman 's call on a customer .	That sound is the distinctive call of the cuckoo bird .	F
2705	narrowness	N	T	The attraction of the book is precisely its narrowness of focus .	The problem with achievement tests is the narrowness they impose on students .	T
2706	finish	N	T	The boat had a metallic finish .	He applied a coat of a clear finish .	F
2707	member	N	F	Canada is a member of the United Nations .	Members of the opposite sex .	F
2708	turn	V	F	Turn on the spot .	Turn the dial to 10 .	F
2709	day	N	T	She called it a day and went to bed .	It was a busy day on the stock exchange .	F
2710	pay	V	T	She had to pay the penalty for speaking out rashly .	You 'll pay for this opinion later .	T
2711	pulp	V	T	Pulp fruit .	Pulp wood .	F
2712	drop	N	F	A drop of each sample was analyzed .	There was a drop in pressure in the pulmonary artery .	F
2713	apology	N	T	The CEO made a public apology for the scandal , and promised full cooperation with the authorities .	What he said really hurt my feelings , but his apology sounded so sincere that I could n't help but forgive him .	T
2714	way	N	F	A lonely way of life .	Make way for .	F
2715	entreaty	N	T	We need an entreaty to stop the hostilities .	An entreaty to stop the fighting .	T
2716	keep	V	T	I keep my specimens under glass to protect them .	Keep on working !	F
2717	noise	N	T	Whatever it was he did n't like it and he was going to let them know by making as loud a noise as he could .	The announcement of the election recount caused a lot of noise .	T
2718	time	N	F	The judge leniently granted a sentence with no hard time .	He had a time holding back the tears .	F
2719	roughcast	V	T	Roughcast a wall .	To roughcast a wall or building .	T
2720	air	N	T	Open a window and let in some air .	A smell of chemicals in the air .	F
2721	stuff	N	T	What is all that stuff on your bedroom floor ?	He did n't want his pockets to bulge so he was walking around with all his stuff in his hands .	T
2722	work	V	T	Do you want to work after the age of 60 ?	She works as a waitress to put herself through college .	T
2723	admit	V	T	We can not admit non-members into our club building .	A ticket admits one into a playhouse .	F
2724	shock	N	F	Loss of blood is an important cause of shock .	Electricians get accustomed to occasional shocks .	F
2725	prise	V	T	2004 : Most people used pliers , scissors , rubber gloves and knives to try to prise open products . — BBC News .	1919 : I think he must have been trying to prise open that box yonder when he was attacked . — Sax Rohmer , The Quest of the Sacred Slipper .	T
2726	drag	N	F	Peeling potatoes is a drag .	He went to the party dressed in drag .	F
2727	air	N	F	She was humming an air from Beethoven .	Her hand stopped in mid air .	F
2728	hit	V	F	The ball hit the fence .	The movie hits theaters in December .	F
2729	discover	V	T	The story is false , so far as I can discover .	I discovered what he should do .	F
2730	hit	V	F	Hit a ball .	He hit a home run .	T
2731	tip	V	F	Remember to tip the waiter .	Tip the screen upward .	F
2732	break	V	T	I had to break a $ 100 bill just to buy the candy .	The wholesaler broke the container loads into palettes and boxes for local retailers .	F
2733	dwelling	N	T	Philip 's dwelling fronted on the street . - Alfred Tennyson .	I was doing dwelling in the cave .	F
2734	third	N	F	He is playing third .	Now put it into third .	T
2735	act	V	T	The governor should act on the new energy bill .	Think before you act .	F
2736	ride	V	F	Do n't ride me so hard over my failure .	Let it ride .	F
2737	luck	N	T	It was my good luck to be there .	They say luck is a lady .	T
2738	corner	N	F	A piano was in one corner of the room .	The corners of the wire mesh were reinforced with little blobs of solder .	F
2739	difference	N	F	It just wo n't make much difference to me .	There were irreconcilable differences .	F
2740	deal	N	T	I believe it 's your deal .	I did n't have a good deal all evening .	T
2741	shoot	V	T	Shoot a goal .	In my round of golf yesterday I shot a 76 .	F
2742	get	V	F	She did n't get his name when they met the first time .	The ice storm got my hibiscus .	F
2743	integrity	N	F	The integrity of the nervous system is required for normal development .	They admired his scrupulous professional integrity .	T
2744	break	V	T	Did you two break the trolley by racing with it ?	The bus we travelled in broke down on the way to town .	T
2745	fall	V	F	Fall prey to an imposter .	Her hair fell across her forehead .	F
2746	advance	V	F	To advance one 's interests .	We are advancing technology every day .	T
2747	part	N	T	The written part of the exam .	Please turn to Part I , Chapter 2 .	T
2748	follow	V	F	Follow the trail .	Follow a pattern .	T
2749	dress	V	T	Dress the patient .	He was dressed in the latest fashions .	T
2750	place	N	F	He lost his place on the page .	A political system with no place for the less prominent groups .	F
2751	subscription	N	F	My library subscription is about to expire .	The deed was attested by the subscription of his signature .	F
2752	vote	N	F	They are expecting a large vote .	The Supreme Court upheld the principle of one person , one vote .	F
2753	strengthen	V	T	Strengthen the relations between the two countries .	This exercise will strengthen your upper body .	F
2754	pick	V	F	Pick meat from a bone .	Pick up the tab .	F
2755	throw	V	F	Throw a shoe .	Throw a glance .	F
2756	place	N	T	A place in my heart .	He has a special place in my thoughts .	T
2757	prise	V	T	C. 1925 : Come , force the gates with crowbars , prise them apart ! — Jack Lindsay , translation of Lysistrata .	2004 : Most people used pliers , scissors , rubber gloves and knives to try to prise open products . — BBC News .	T
2758	come	V	F	The sleeves come to your knuckles .	Come into the room .	F
2759	get	V	F	What do you get when you add up these numbers ?	Get nauseous .	F
2760	use	V	T	He does n't know how to use a computer .	Use this knife to slice the bread .	F
2761	credit	N	T	He arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift .	Give her credit for trying .	T
2762	figure	N	F	He cut a sorry figure standing there in the rain .	He made a figure of Santa Claus .	F
2763	clear	V	F	The check will clear within 2 business days .	The sky cleared after the storm .	F
2764	catch	V	F	If you leave now you might catch him .	She really caught the spirit of the place in her drawings .	F
2765	drop	N	F	It was a miracle that he survived the drop from that height .	There was a drop in pressure in the pulmonary artery .	F
2766	fix	V	F	Fix breakfast for the guests , please .	I was fixing to leave town after I paid the hotel bill .	F
2767	key	N	T	The key to solving this problem is persistence .	The key to development is economic integration .	F
2768	series	N	F	The harmonic series has been much studied .	They were investigating a series of bank robberies .	F
2769	property	N	T	Charm is his most endearing property .	A study of the physical properties of atomic particles .	F
2770	sign	N	T	Those clouds show little sign of raining soon .	They welcomed the signs of spring .	T
2771	line	N	F	A dedicated line .	I ca n't follow your line of reasoning .	F
2772	come	V	T	Come into contact with a terrorist group .	Winter comes after autumn .	F
2773	go	V	F	How fast does your new car go ?	These luxuries all had to go under the Khmer Rouge .	F
2774	top	N	F	Only the top side of the box was painted .	He stared as she buttoned her top .	F
2775	admit	V	T	We can not admit non-members into our club building .	To admit a serious thought into the mind .	F
2776	break	V	T	Break a promise .	Break a law .	T
2777	death	N	F	England scored a goal at the death to even the score at one all .	It was the death of all his plans .	F
2778	art	N	T	How great thou art !	It 's quite an art .	F
2779	operation	N	T	They paid taxes on every stage of the operation .	A large-scale farming operation .	T
2780	catch	V	F	She managed to catch herself before telling her boss what was on her mind .	He caught the allusion in her glance .	F
2781	yes	N	T	I was hoping for a yes .	Was that a yes ?	T
2782	mark	V	F	The citizens mark the anniversary of the revolution with a march and a parade .	This sign marks the border .	F
2783	bank	N	F	He operated a bank of switches .	A huge bank of earth .	F
2784	attack	V	T	This species of snake will only attack humans if it feels threatened .	Hitler attacked Poland on September 1 , 1939 and started World War II .	F
2785	formation	N	T	The formation of crystals .	The formation of gas in the intestine .	F
2786	curmudgeon	N	T	There 's a cranky curmudgeon working at the hospital who gives all the patients and other doctors flak .	John Doe 's old age and stubborn aversion to new ideas make him a curmudgeon of a candidate .	T
2787	stage	N	F	Then we embarked on the second stage of our Caribbean cruise .	We went out of town together by stage about ten or twelve miles .	F
2788	weakness	N	F	In a small number of horses , muscle weakness may progress to paralysis .	The weakness of the span was overlooked until it collapsed .	T
2789	audit	V	T	To audit the accounts of a treasure , or of parties who have a suit depending in court .	Audit accounts and tax returns .	T
2790	scratch	V	F	Scratch that remark .	Do n't scratch your insect bites !	F
2791	copy	N	T	She made a copy of the designer dress .	Please bring me the copies of those reports .	T
2792	rest	N	T	Now that we 're all in agreement , we can put that issue to rest .	The ocean was finally at rest .	T
2793	roam	V	T	The cattle roam across the prairie .	The gypsies roamed the woods .	T
2794	uncork	V	T	Uncork the French wine .	Uncork a bottle of wine .	T
2795	turn	V	F	Turn the legs of the table .	Turn a somersault .	F
2796	locate	V	T	Our sense of sight enables us to locate objects in space .	Locate the boundaries of the property .	T
2797	read	V	T	She read the sky and predicted rain .	I ca n't read his strange behavior .	F
2798	nick	N	T	He 's just been released from Shadwell nick prison after doing ten years for attempted murder .	He was arrested and taken down to Sun Hill nick police station to be charged .	T
2799	question	N	T	The question of disease merits serious discussion .	There was a question of which material to use .	T
2800	point	N	F	To fall off a point .	They sailed south around the point .	F
2801	raise	V	F	Raise from the dead .	Raise a protest .	F
2802	pull	V	T	You 'll be sent home if you pull another stunt like that .	He regularly pulls 12-hour days , sometimes 14 .	F
2803	cut	V	T	Cut the songs .	She cut all of her major titles again .	F
2804	note	N	F	I did n't have any coins to pay with , so I used a note .	He detected a note of sarcasm .	F
2805	stretch	V	F	Cats stretch with equal ease and agility beyond the point that breaks a man on the rack .	I stretched the rubber band until it almost broke .	T
2806	play	V	T	Play football .	Pele played for the Brazilian teams in many important matches .	F
2807	nomination	N	T	His nomination was hotly protested .	There was keen competition for the nomination .	T
2808	sex	N	T	All you ever think about is sex .	They had sex in the back seat .	T
2809	hyponym	N	T	Dog is a hyponym of animal .	A is a hyponym of B means that " A is a type of B. " .	T
2810	dresser	N	T	He 's a meticulous dresser .	She 's an elegant dresser .	T
2811	unemployment	N	T	Unemployment is a serious social evil .	The rate of unemployment is an indicator of the health of an economy .	T
2812	accent	N	F	The name Cézanne is written with an acute accent .	The room was decorated in shades of grey with distinctive red accents .	F
2813	create	V	T	You can create the color orange by mixing yellow and red .	He created a new movement in painting .	T
2814	do	V	F	Will $ 100 do ?	We did 6 miles on our hike every day .	F
2815	place	N	F	He put the lamp back in its place .	A place in my heart .	F
2816	quality	N	F	Membership of this golf club is limited to those of quality and wealth .	This school is well-known for having teachers of high quality .	T
2817	keep	V	F	Keep your cool .	He keeps bees .	F
2818	fall	V	T	Fall prey to an imposter .	They fell out of favor .	F
2819	image	N	T	The number 6 is the image of 3 under f that is defined as f(x ) = 2*x .	The image of f(x) = x^2 is the set of all non - negative real numbers if the domain of the function is the set of all real numbers .	F
2820	point	N	F	He stuck the point of the knife into a tree .	A row of points .	F
2821	third	N	T	Jones came in third .	A distant third .	T
2822	path	N	F	The path of a meteor , of a caravan , or of a storm .	Genius usually follows a revolutionary path .	F
2823	spell	V	F	The letters “ a ” , “ n ” and “ d ” spell “ and ” .	I 'm afraid this spells trouble !	T
2824	room	N	T	The whole room was cheering .	The room was on its feet .	T
2825	stay	N	T	A four-month stay in bankruptcy court .	A lengthy hospital stay .	T
2826	shtik	N	F	He played a shtik Beethoven .	Play it straight with no shtik .	T
2827	floor	N	F	The floor of the pelvis .	He is a floor trader .	F
2828	order	N	F	IBM received an order for a hundred computers .	The machine is now in working order .	F
2829	reaction	N	F	In this reaction , the acid and base will neutralize each other , producing a salt .	The announcement of the verdict brought a violent reaction .	F
2830	expression	N	T	The best poker players can tell if the opponents have a good hand by looking at their expression .	Her expression changed from joy to misery after realising her winning lottery ticket had expired .	T
2831	go	V	F	These luxuries all had to go under the Khmer Rouge .	This violinist is as good as Juilliard-trained violinists go .	F
2832	picture	N	T	He had no clear picture of himself or his world .	He described his mental picture of his assailant .	F
2833	damage	N	T	How much is the damage ?	What 's the damage ? he asked the waiter .	T
2834	foot	N	F	The foot of the mountain .	His bare feet projected from his trousers .	F
2835	go	V	F	This sofa wo n't go with the chairs .	We should go farther in this matter .	F
2836	follow	V	T	Can you follow her argument ?	When he lectures , I can not follow .	T
2837	get	V	F	She did n't get to Chicago until after midnight .	The blow got him in the back .	F
2838	work	V	T	Do you want to work after the age of 60 ?	My wife never worked .	F
2839	nonprofit	N	T	If it was n't subsidized , the nonprofit would be bankrupt .	Employees of a nonprofit rarely make as much as greedy counterparts in the commercial world .	T
2840	roll	N	F	The roll of a ball .	Calculate the roll of that aircraft .	F
2841	estimate	N	F	An estimate of what it would cost .	Many factors are involved in any estimate of human life .	T
2842	point	V	F	Point a gun .	Point the letter .	T
2843	work	V	T	Work one 's muscles .	My personal trainer works me hard .	T
2844	ground	V	F	Ground the electrical connections for safety reasons .	The storm grounded the ship .	T
2845	sex	N	T	They had sex in the back seat .	( The believers ... those ... ) who abstain from sex .	F
2846	erase	V	F	Please erase the formula on the blackboard -- it is wrong !	The Turks erased the Armenians in 1915 .	F
2847	fail	V	F	I fail to understand your motives .	A number of banks failed that year .	F
2848	make	V	T	Do n't make this into a big deal .	He made a fool of himself at the meeting .	F
2849	execute	V	T	Execute the decision of the people .	Your orders have been executed , sir !	T
2850	channel	N	T	A channel is typically what you rent from a telephone company .	The channel is created by bonding the signals from these four pairs .	F
2851	war	N	T	The war on poverty .	In the US , conservatives rail against the " war on Christmas " .	F
2852	softness	N	F	The climate had the softness of the south of France .	Softness is not something permitted of good leaders .	F
2853	body	N	T	A body of precedents .	A body of doctrine .	T
2854	interest	N	F	In the interest of safety .	Victorian furniture is an interest of mine .	F
2855	recognition	N	F	Give her recognition for trying .	Molecular recognition drives all of biology , for instance , hormone and receptor or antibody-antigen interactions or the organization of molecules into larger biologically active entities .	F
2856	feel	V	T	The sheets feel soft .	The ground feels shaky .	T
2857	pull	N	T	The spaceship came under the pull of the gas giant .	The pull of the current .	T
2858	gravitation	N	T	The gravitation between two bodies is proportional to the product of their masses and inversely proportional to the square of the distance between them .	Gravitation är svagare än elektromagnetismen , men påverkar all materia och energi .	T
2859	organ	N	F	Georgie Fame plays all types of keyboards including electric piano , organ , and Hammond organ .	The organ of the communist party .	F
2860	cut	V	T	We had to cut short the conversation .	Cut the noise .	F
2861	rack	V	F	Rack one 's brains .	Rack a camera .	F
2862	war	N	T	The " war on drugs " is a campaign against the use of narcotic drugs .	The war against crime .	T
2863	name	N	F	Halt in the name of the law .	He had no sons and there was no one to carry on his name .	T
2864	stuff	N	F	You do n't have the stuff to be a United States Marine .	The trunk was full of stuff .	F
2865	street	N	T	Walk down the street .	He lives on Nassau Street .	T
2866	gold	N	T	She has a heart of gold .	The child was as good as gold .	T
2867	title	N	F	He had no documents confirming his title to his father 's estate .	I can never remember movie titles .	F
2868	throw	V	F	Have , throw , or make a party .	The horse threw its rider .	F
2869	discover	V	T	The story is false , so far as I can discover .	Turning the corner , I discovered a lovely little shop .	F
2870	call	N	F	He placed a phone call to London .	The salesman 's call on a customer .	T
2871	use	V	T	I ca n't use this tool .	Use this knife to slice the bread .	F
2872	be	V	T	I shall be writing to you soon .	The sky is blue .	F
2873	session	N	T	A training session .	A gossip session .	F
2874	convert	V	T	Convert lead into gold .	He converted his garden into a tennis court .	F
2875	set	N	F	His instructions deliberately gave them the wrong set .	The sets were meticulously authentic .	F
2876	start	N	F	They got an early start .	The movie was entertaining from start to finish .	T
2877	door	N	T	Education is the door to success .	We closed the door to Haitian immigrants .	F
2878	dress	V	T	We had to dress quickly .	Marlene dressed herself .	T
2879	corner	N	F	Standing on the corner watching all the girls go by .	In many corners of the world they still practice slavery .	F
2880	dingbat	N	T	You would be a dingbat even to try it .	Yet here he was with an upper class dingbat who just happened to be married to his sister .	T
2881	work	V	T	Can you work an electric drill ?	This pilot works the controls .	T
2882	beat	V	F	Beat one 's foot rhythmically .	I beat the traffic .	F
2883	connection	N	T	The connection between church and state is inescapable .	The connection between overeating and obesity .	F
2884	fall	V	T	Fall into a strange way of thinking .	Fall prey to an imposter .	F
2885	discover	V	T	The story is false , so far as I can discover .	I discovered what to do .	F
2886	quality	N	F	Membership of this golf club is limited to those of quality and wealth .	While being impulsive can be great for artists , it is not a desirable quality for engineers .	T
2887	baby	N	F	This project is his baby .	Hey baby , what are you doing later ?	F
2888	offset	V	T	I 'll offset the time difference locally .	To offset one charge against another .	F
2889	help	V	T	Please , help !	Can you help me carry this table ?	T
2890	pull	V	F	You 'll be sent home if you pull another stunt like that .	Pull your knees towards your chin .	F
2891	piece	N	F	It is not known who created this piece .	I need to rest for a piece .	F
2892	ride	V	F	She loves to ride her new motorcycle through town .	The child rode on his mother 's hips .	F
2893	trail	N	F	There as a trail of blood .	The trail led straight to the perpetrator .	T
2894	line	N	F	He has a smooth line but I did n't fall for it .	A dedicated line .	F
2895	cover	V	T	Does my policy cover accidental loss ?	The insurance wo n't cover this .	T
2896	turn	V	T	Turn the dial to 10 .	Turn the heat down .	T
2897	field	N	T	The home crowd cheered when Princeton took the field .	There are several species of wild flowers growing in this field .	F
2898	suffer	V	F	Suffer a terrible fate .	His grades suffered .	F
2899	unit	N	T	After the battle the soldier had trouble rejoining his unit .	The coach said the offensive unit did a good job .	T
2900	ribbon	N	T	The lighted ribbon of traffic .	A mere ribbon of land .	T
2901	assign	V	T	To assign counsel for a prisoner .	The teacher assigned him to lead his classmates in the exercise .	F
2902	tension	N	F	Tension holds the belt in the pulleys .	The direction of maximum tension moves asymptotically toward the direction of the shear .	F
2903	raise	V	F	Raise a siege .	Raise a family .	F
2904	tab	N	T	Files with a red tab will be stored separately .	The filing cards were organized by cards having indexed tabs .	T
2905	go	V	F	How fast does your new car go ?	This door goes to the basement .	F
2906	corruption	N	F	Corruption of a minor .	The luxury and corruption among the upper classes .	T
2907	academy	N	F	The military academy at West Point .	Academies of literature and philology .	T
2908	play	V	T	I 've practiced the piano off and on , and I still ca n't play very well .	He plays the flute .	T
2909	save	V	T	Let 's save the packaging in case we need to send the product back .	He saves half his salary .	F
2910	touch	N	F	This dish could use a touch of garlic .	With the lights out , she had to rely on touch to find her desk .	T
2911	mount	V	T	Mount a horse .	The rider mounted his horse .	T
2912	have	V	T	I do n't have any money left .	I have two years left .	F
2913	lightning	N	T	That tree was hit by lightning .	The lightning was hot enough to melt the sand .	T
2914	close	V	F	Close up an umbrella .	They closed the deal on the building .	F
2915	block	N	T	Anne Boleyn placed her head on the block and awaited her execution .	The pyramids were built with large stone blocks .	F
2916	follow	V	F	Teenagers follow their friends in everything .	Follow these simple rules .	F
2917	draw	V	F	Draw a conclusion .	Draw a line .	F
2918	leave	V	F	Leave lots of time for the trip .	At what time does your train leave ?	T
2919	stand	V	F	Stand the test of time .	She stands 6 feet tall .	F
2920	begin	V	F	Begin a cigar .	My property begins with the three maple trees .	F
2921	turn	V	F	Turn your face to the wall .	Ivory turns well .	F
2922	fall	V	T	Fall into a strange way of thinking .	Fall asleep .	F
2923	snap	V	F	Snap your fingers .	When her baby died , she snapped .	F
2924	bear	V	F	I can not bear his constant criticism .	She is bearing his child .	F
2925	play	V	T	Play fair .	Play it safe .	F
2926	prepare	V	F	Prepare a report .	The prince was prepared to become King one day .	F
2927	recognition	N	F	He looked at her for ten full minutes before recognition dawned .	Increasing recognition that diabetes frequently coexists with other chronic diseases .	T
